sepal_length,sepal_width,petal_length,petal_width,species,sepal_aspect,pedal_aspect,sepal_shape
5.1,3.5,1.4,0.2,setosa,1.46,7.0,short
4.9,3.0,1.4,0.2,setosa,1.63,7.0,short
4.7,3.2,1.3,0.2,setosa,1.47,6.5,short
4.6,3.1,1.5,0.2,setosa,1.48,7.5,short
5.0,3.6,1.4,0.2,setosa,1.39,7.0,short
5.4,3.9,1.7,0.4,setosa,1.38,4.25,short
4.6,3.4,1.4,0.3,setosa,1.35,4.67,short
5.0,3.4,1.5,0.2,setosa,1.47,7.5,short
4.4,2.9,1.4,0.2,setosa,1.52,7.0,short
4.9,3.1,1.5,0.1,setosa,1.58,15.0,short
5.4,3.7,1.5,0.2,setosa,1.46,7.5,short
4.8,3.4,1.6,0.2,setosa,1.41,8.0,short
4.8,3.0,1.4,0.1,setosa,1.6,14.0,short
4.3,3.0,1.1,0.1,setosa,1.43,11.0,short
5.8,4.0,1.2,0.2,setosa,1.45,6.0,short
5.7,4.4,1.5,0.4,setosa,1.3,3.75,short
5.4,3.9,1.3,0.4,setosa,1.38,3.25,short
5.1,3.5,1.4,0.3,setosa,1.46,4.67,short
5.7,3.8,1.7,0.3,setosa,1.5,5.67,short
5.1,3.8,1.5,0.3,setosa,1.34,5.0,short
5.4,3.4,1.7,0.2,setosa,1.59,8.5,short
5.1,3.7,1.5,0.4,setosa,1.38,3.75,short
4.6,3.6,1.0,0.2,setosa,1.28,5.0,short
5.1,3.3,1.7,0.5,setosa,1.55,3.4,short
4.8,3.4,1.9,0.2,setosa,1.41,9.5,short
5.0,3.0,1.6,0.2,setosa,1.67,8.0,short
5.0,3.4,1.6,0.4,setosa,1.47,4.0,short
5.2,3.5,1.5,0.2,setosa,1.49,7.5,short
5.2,3.4,1.4,0.2,setosa,1.53,7.0,short
4.7,3.2,1.6,0.2,setosa,1.47,8.0,short
4.8,3.1,1.6,0.2,setosa,1.55,8.0,short
5.4,3.4,1.5,0.4,setosa,1.59,3.75,short
5.2,4.1,1.5,0.1,setosa,1.27,15.0,short
5.5,4.2,1.4,0.2,setosa,1.31,7.0,short
4.9,3.1,1.5,0.2,setosa,1.58,7.5,short
5.0,3.2,1.2,0.2,setosa,1.56,6.0,short
5.5,3.5,1.3,0.2,setosa,1.57,6.5,short
4.9,3.6,1.4,0.1,setosa,1.36,14.0,short
4.4,3.0,1.3,0.2,setosa,1.47,6.5,short
5.1,3.4,1.5,0.2,setosa,1.5,7.5,short
5.0,3.5,1.3,0.3,setosa,1.43,4.33,short
4.5,2.3,1.3,0.3,setosa,1.96,4.33,medium
4.4,3.2,1.3,0.2,setosa,1.38,6.5,short
5.0,3.5,1.6,0.6,setosa,1.43,2.67,short
5.1,3.8,1.9,0.4,setosa,1.34,4.75,short
4.8,3.0,1.4,0.3,setosa,1.6,4.67,short
5.1,3.8,1.6,0.2,setosa,1.34,8.0,short
4.6,3.2,1.4,0.2,setosa,1.44,7.0,short
5.3,3.7,1.5,0.2,setosa,1.43,7.5,short
5.0,3.3,1.4,0.2,setosa,1.52,7.0,short
7.0,3.2,4.7,1.4,versicolor,2.19,3.36,medium
6.4,3.2,4.5,1.5,versicolor,2.0,3.0,medium
6.9,3.1,4.9,1.5,versicolor,2.23,3.27,medium
5.5,2.3,4.0,1.3,versicolor,2.39,3.08,medium
6.5,2.8,4.6,1.5,versicolor,2.32,3.07,medium
5.7,2.8,4.5,1.3,versicolor,2.04,3.46,medium
6.3,3.3,4.7,1.6,versicolor,1.91,2.94,medium
4.9,2.4,3.3,1.0,versicolor,2.04,3.3,medium
6.6,2.9,4.6,1.3,versicolor,2.28,3.54,medium
5.2,2.7,3.9,1.4,versicolor,1.93,2.79,medium
5.0,2.0,3.5,1.0,versicolor,2.5,3.5,long
5.9,3.0,4.2,1.5,versicolor,1.97,2.8,medium
6.0,2.2,4.0,1.0,versicolor,2.73,4.0,long
6.1,2.9,4.7,1.4,versicolor,2.1,3.36,medium
5.6,2.9,3.6,1.3,versicolor,1.93,2.77,medium
6.7,3.1,4.4,1.4,versicolor,2.16,3.14,medium
5.6,3.0,4.5,1.5,versicolor,1.87,3.0,medium
5.8,2.7,4.1,1.0,versicolor,2.15,4.1,medium
6.2,2.2,4.5,1.5,versicolor,2.82,3.0,long
5.6,2.5,3.9,1.1,versicolor,2.24,3.55,medium
5.9,3.2,4.8,1.8,versicolor,1.84,2.67,medium
6.1,2.8,4.0,1.3,versicolor,2.18,3.08,medium
6.3,2.5,4.9,1.5,versicolor,2.52,3.27,long
6.1,2.8,4.7,1.2,versicolor,2.18,3.92,medium
6.4,2.9,4.3,1.3,versicolor,2.21,3.31,medium
6.6,3.0,4.4,1.4,versicolor,2.2,3.14,medium
6.8,2.8,4.8,1.4,versicolor,2.43,3.43,long
6.7,3.0,5.0,1.7,versicolor,2.23,2.94,medium
6.0,2.9,4.5,1.5,versicolor,2.07,3.0,medium
5.7,2.6,3.5,1.0,versicolor,2.19,3.5,medium
5.5,2.4,3.8,1.1,versicolor,2.29,3.45,medium
5.5,2.4,3.7,1.0,versicolor,2.29,3.7,medium
5.8,2.7,3.9,1.2,versicolor,2.15,3.25,medium
6.0,2.7,5.1,1.6,versicolor,2.22,3.19,medium
5.4,3.0,4.5,1.5,versicolor,1.8,3.0,short
6.0,3.4,4.5,1.6,versicolor,1.76,2.81,short
6.7,3.1,4.7,1.5,versicolor,2.16,3.13,medium
6.3,2.3,4.4,1.3,versicolor,2.74,3.38,long
5.6,3.0,4.1,1.3,versicolor,1.87,3.15,medium
5.5,2.5,4.0,1.3,versicolor,2.2,3.08,medium
5.5,2.6,4.4,1.2,versicolor,2.12,3.67,medium
6.1,3.0,4.6,1.4,versicolor,2.03,3.29,medium
5.8,2.6,4.0,1.2,versicolor,2.23,3.33,medium
5.0,2.3,3.3,1.0,versicolor,2.17,3.3,medium
5.6,2.7,4.2,1.3,versicolor,2.07,3.23,medium
5.7,3.0,4.2,1.2,versicolor,1.9,3.5,medium
5.7,2.9,4.2,1.3,versicolor,1.97,3.23,medium
6.2,2.9,4.3,1.3,versicolor,2.14,3.31,medium
5.1,2.5,3.0,1.1,versicolor,2.04,2.73,medium
5.7,2.8,4.1,1.3,versicolor,2.04,3.15,medium
6.3,3.3,6.0,2.5,virginica,1.91,2.4,medium
5.8,2.7,5.1,1.9,virginica,2.15,2.68,medium
7.1,3.0,5.9,2.1,virginica,2.37,2.81,medium
6.3,2.9,5.6,1.8,virginica,2.17,3.11,medium
6.5,3.0,5.8,2.2,virginica,2.17,2.64,medium
7.6,3.0,6.6,2.1,virginica,2.53,3.14,long
4.9,2.5,4.5,1.7,virginica,1.96,2.65,medium
7.3,2.9,6.3,1.8,virginica,2.52,3.5,long
6.7,2.5,5.8,1.8,virginica,2.68,3.22,long
7.2,3.6,6.1,2.5,virginica,2.0,2.44,medium
6.5,3.2,5.1,2.0,virginica,2.03,2.55,medium
6.4,2.7,5.3,1.9,virginica,2.37,2.79,medium
6.8,3.0,5.5,2.1,virginica,2.27,2.62,medium
5.7,2.5,5.0,2.0,virginica,2.28,2.5,medium
5.8,2.8,5.1,2.4,virginica,2.07,2.12,medium
6.4,3.2,5.3,2.3,virginica,2.0,2.3,medium
6.5,3.0,5.5,1.8,virginica,2.17,3.06,medium
7.7,3.8,6.7,2.2,virginica,2.03,3.05,medium
7.7,2.6,6.9,2.3,virginica,2.96,3.0,long
6.0,2.2,5.0,1.5,virginica,2.73,3.33,long
6.9,3.2,5.7,2.3,virginica,2.16,2.48,medium
5.6,2.8,4.9,2.0,virginica,2.0,2.45,medium
7.7,2.8,6.7,2.0,virginica,2.75,3.35,long
6.3,2.7,4.9,1.8,virginica,2.33,2.72,medium
6.7,3.3,5.7,2.1,virginica,2.03,2.71,medium
7.2,3.2,6.0,1.8,virginica,2.25,3.33,medium
6.2,2.8,4.8,1.8,virginica,2.21,2.67,medium
6.1,3.0,4.9,1.8,virginica,2.03,2.72,medium
6.4,2.8,5.6,2.1,virginica,2.29,2.67,medium
7.2,3.0,5.8,1.6,virginica,2.4,3.62,long
7.4,2.8,6.1,1.9,virginica,2.64,3.21,long
7.9,3.8,6.4,2.0,virginica,2.08,3.2,medium
6.4,2.8,5.6,2.2,virginica,2.29,2.55,medium
6.3,2.8,5.1,1.5,virginica,2.25,3.4,medium
6.1,2.6,5.6,1.4,virginica,2.35,4.0,medium
7.7,3.0,6.1,2.3,virginica,2.57,2.65,long
6.3,3.4,5.6,2.4,virginica,1.85,2.33,medium
6.4,3.1,5.5,1.8,virginica,2.06,3.06,medium
6.0,3.0,4.8,1.8,virginica,2.0,2.67,medium
6.9,3.1,5.4,2.1,virginica,2.23,2.57,medium
6.7,3.1,5.6,2.4,virginica,2.16,2.33,medium
6.9,3.1,5.1,2.3,virginica,2.23,2.22,medium
5.8,2.7,5.1,1.9,virginica,2.15,2.68,medium
